接口标识,接口名称,接口地址,接口请求方式,接口参数
addUsingPOST_2,添加服务商企业,https://service.bccastle.com/om/dev/addCompany,post,"['createDateTime', 'address', 'bankCode', 'bankCompanyName', 'bankCompanyNum', 'certificateauthority', 'certificatename', 'certificateno', 'certificatepic', 'city', 'companyMail', 'companyPhone', 'companyid', 'companytype', 'createuser', 'deleteuser', 'description', 'developernum', 'employeesnum', 'ename', 'idsSysComment', 'issuingauthority', 'legalperson', 'limiteperiod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regaddress', 'registeredcode', 'registereddate', 'registeredfunds', 'registeredtype', 'status', 'validperiod', 'website']"
deleteUsingGET,删除服务商企业,https://service.bccastle.com/om/dev/delete,get,['companyids']
exportUserDateUsingGET_1,企业用户-导出,https://service.bccastle.com/om/dev/download/exportUserDate,get,"['username', 'userCompanyName', 'mobile', 'accValidCode', 'companyid']"
getCompanyByIdUsingGET_1,查看企业信息,https://service.bccastle.com/om/dev/getCompanyById,get,['companyid']
getCompanyByIdMiddleUsingGET,查看企业信息middle表中,https://service.bccastle.com/om/dev/getCompanyByIdMiddle,get,['companyid']
ajaxCompanyListUsingPOST,分页查询服务商企业信息,https://service.bccastle.com/om/dev/getCompanyList,post,"['createDataTime', 'address', 'bankCode', 'bankCompanyName', 'bankCompanyNum', 'certificateauthority', 'certificatename', 'certificateno', 'certificatepic', 'city', 'companyMail', 'companyPhone', 'companyid', 'companytype', 'createuser', 'deleteuser', 'description', 'developernum', 'employeesnum', 'ename', 'idsSysComment', 'issuingauthority', 'legalperson', 'limiteperiod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regaddress', 'registeredcode', 'registereddate', 'registeredfunds', 'registeredtype', 'status', 'validperiod', 'website', 'page']"
getDevSimpleCompanyUsingGET,企业列表,https://service.bccastle.com/om/dev/getDevSimpleCompany,get,[]
importUserDateUsingPOST_1,服务商企业用户-导入,https://service.bccastle.com/om/dev/importUserDate,post,['file']
querySupportPeopleUsingPOST,查询服务商支持人,https://service.bccastle.com/om/dev/querySupportPeople,post,"['serviceCompanyId', 'serviceSupportId', 'supportMail', 'supportName', 'supportNum', 'supportPhone', 'supportPosition', 'supportType']"
sendSmsUsingPOST_1,服务商管理员重置密码发送短息,https://service.bccastle.com/om/dev/sendSms,post,"['uid', 'resetWay', 'getWay', 'password']"
